ProductName,ProductCode,RegularPrice,HappyPrice,DiscountPercent,PageLink,ImageLink
TCL 55P635,Шифра: 76123,"37,999 Ден.","20,999 Ден.",-45%,https://setec.mk/tcl-55p63576123,https://setec.mk/image/cache/catalog/Product/76123_0-220x220.jpg
SAMSUNG UE65CU7092UXXH,Шифра: 57453,"53,999 Ден.","34,999 Ден.",-35%,https://setec.mk/samsung-ue65cu7092uxxh57453,https://setec.mk/image/cache/catalog/Product/57453_0-220x220.jpg
SAMSUNG UE55CU7092UXXH,Шифра: 57668,"39,999 Ден.","25,999 Ден.",-35%,https://setec.mk/samsung-ue55cu7092uxxh57668,https://setec.mk/image/cache/catalog/Product/57668_0-220x220.jpg
TCL 55C745,Шифра: 77351,"54,999 Ден.","34,999 Ден.",-36%,https://setec.mk/tcl-55c74577351,https://setec.mk/image/cache/catalog/Product/77351_0-220x220.jpg
TCL 65C745,Шифра: 77352,"74,999 Ден.","42,999 Ден.",-43%,https://setec.mk/tcl-65c74577352,https://setec.mk/image/cache/catalog/Product/77352_0-220x220.jpg
TCL 55C645,Шифра: 76638,"45,999 Ден.","26,999 Ден.",-41%,https://setec.mk/tcl-55c64576638,https://setec.mk/image/cache/catalog/Product/76638_0-220x220.jpg
TCL 43P635,Шифра: 75980,"27,999 Ден.","15,999 Ден.",-43%,https://setec.mk/tcl-43p63575980,https://setec.mk/image/cache/catalog/Product/75980_0-220x220.jpg
Hisense 65A6K,Шифра: 77276,"39,999 Ден.","29,999 Ден.",-25%,https://setec.mk/hisense-65a6k77276,https://setec.mk/image/cache/catalog/Product/77276_0-220x220.jpg
Hisense 50A6K,Шифра: 77185,"25,999 Ден.","19,999 Ден.",-23%,https://setec.mk/hisense-50a6k77185,https://setec.mk/image/cache/catalog/Product/77185_0-220x220.jpg
PHILIPS 55PUS7409,Шифра: 58712,"36,999 Ден.","27,999 Ден.",-24%,https://setec.mk/index.php?route=product/product&product_id=58712,https://setec.mk/image/cache/catalog/Product/58712_0-220x220.jpg
PHILIPS 40PFS6009,Шифра: 78133,"17,999 Ден.","13,499 Ден.",-25%,https://setec.mk/index.php?route=product/product&product_id=78133,https://setec.mk/image/cache/catalog/Product/78133_0-220x220.jpg
TELEFUNKEN 65QUAK9140BX,Шифра: 77924,"47,999 Ден.","27,999 Ден.",-42%,https://setec.mk/telefunken-65quak9140bx77924,https://setec.mk/image/cache/catalog/Product/77924_0-220x220.jpg
TELEFUNKEN 43FEA5060F,Шифра: 78226,"19,999 Ден.","12,999 Ден.",-35%,https://setec.mk/index.php?route=product/product&product_id=78226,https://setec.mk/image/cache/catalog/Product/78226_0-220x220.jpg
ST-65DX7800,Шифра: 59334,"37,999 Ден.","23,999 Ден.",-37%,https://setec.mk/index.php?route=product/product&product_id=59334,https://setec.mk/image/cache/catalog/Product/59334_0-220x220.jpg
ST-43DH7800,Шифра: 59466,"11,999 Ден.","9,499 Ден.",-21%,https://setec.mk/index.php?route=product/product&product_id=59466,https://setec.mk/image/cache/catalog/Product/59466_0-220x220.jpg
ST-32CH4300,Шифра: 56481,"9,999 Ден.","4,499 Ден.",-55%,https://setec.mk/st-32ch430056481,https://setec.mk/image/cache/catalog/Product/56481_0-220x220.jpg
ST-32CH5800,Шифра: 57432,"10,999 Ден.","5,499 Ден.",-50%,https://setec.mk/st-32ch580057432,https://setec.mk/image/cache/catalog/Product/57432_0-220x220.jpg
Xiaomi Mi Box S (2nd Gen),Шифра: 56140,"4,699 Ден.","3,499 Ден.",-26%,https://setec.mk/xiaomi-mi-box-s-2nd-gen-56140,https://setec.mk/image/cache/catalog/Product/56140_0-220x220.jpg
Samsung SM-A256 Galaxy A25 5G Black 6 / 128,Шифра: 57274,"19,999 Ден.","11,499 Ден.",-43%,https://setec.mk/samsung-sm-a256-galaxy-a25-5g-black-6-12857274,https://setec.mk/image/cache/catalog/Product/57274_0-220x220.jpg
Apple iPhone 16 128GB Black,Шифра: 59511,,,,https://setec.mk/index.php?route=product/product&product_id=59511,https://setec.mk/image/cache/catalog/Product/59511_0-220x220.jpg
Apple iPhone 15 128GB Black,Шифра: 56768,"69,990 Ден.","52,990 Ден.",-24%,https://setec.mk/apple-iphone-15-128gb-black56768,https://setec.mk/image/cache/catalog/Product/56768_0-220x220.jpg
Apple iPhone 13 128GB Starlight,Шифра: 51839,"55,799 Ден.","37,990 Ден.",-32%,https://setec.mk/apple-iphone-13-128gb-starlight51839,https://setec.mk/image/cache/catalog/Product/51839_0-220x220.jpg
Samsung Galaxy S24 Ultra 12GB / 256GB Titanium Black;  Nano-SIM and eSIM or Dual SIM (2 Nano-SIMs and,Шифра: 77670,"86,999 Ден.","79,999 Ден.",-8%,https://setec.mk/samsung-galaxy-s24-ultra-12gb-256gb-titanium-black;-nano-sim-and-esim-or-dual-sim-2-nano-sims-and-77670,https://setec.mk/image/cache/catalog/Product/77670_0-220x220.jpg
Samsung Galaxy S24  8GB / 128GB Marble Gray;  Nano-SIM and eSIM or Dual SIM (2 Nano-SIMs and eSIM,Шифра: 77654,"54,999 Ден.","47,999 Ден.",-13%,https://setec.mk/samsung-galaxy-s24-8gb-128gb-marble-gray;-nano-sim-and-esim-or-dual-sim-2-nano-sims-and-esim77654,https://setec.mk/image/cache/catalog/Product/77654_0-220x220.jpg
Samsung SM-A556 Galaxy A55 5G 8 / 128GB LIGHT BLUE,Шифра: 57685,"32,999 Ден.","22,999 Ден.",-30%,https://setec.mk/samsung-sm-a556-galaxy-a55-5g-8-128gb-light-blue57685,https://setec.mk/image/cache/catalog/Product/57685_0-220x220.jpg
Samsung SM-A356 Galaxy A35 5G 6 / 128GB LIGHT VIOLET,Шифра: 57678,"24,999 Ден.","16,999 Ден.",-32%,https://setec.mk/samsung-sm-a356-galaxy-a35-5g-6-128gb-light-violet57678,https://setec.mk/image/cache/catalog/Product/57678_0-220x220.jpg
Samsung SM-A155 Galaxy A15 4 / 128 Blue,Шифра: 60891,"12,999 Ден.","8,499 Ден.",-35%,https://setec.mk/samsung-sm-a155-galaxy-a15-4-128-blue60891,https://setec.mk/image/cache/catalog/Product/60891_0-220x220.jpg
Samsung SM-A057 Galaxy A05s Black 4 / 64,Шифра: 57270,"10,999 Ден.","5,999 Ден.",-45%,https://setec.mk/samsung-sm-a057-galaxy-a05s-black-4-6457270,https://setec.mk/image/cache/catalog/Product/57270_0-220x220.jpg
Xiaomi Redmi Note 13 8 / 256GB Blue,Шифра: 77699,"15,499 Ден.","10,999 Ден.",-29%,https://setec.mk/xiaomi-redmi-note-13-8-256gb-blue77699,https://setec.mk/image/cache/catalog/Product/77699_0-220x220.jpg
Xiaomi Redmi Note 13 6 / 128GB Green,Шифра: 77698,"13,499 Ден.","9,999 Ден.",-26%,https://setec.mk/xiaomi-redmi-note-13-6-128gb-green77698,https://setec.mk/image/cache/catalog/Product/77698_0-220x220.jpg
Xiaomi Redmi 13 8 / 256GB Pink,Шифра: 78174,"13,999 Ден.","9,999 Ден.",-29%,https://setec.mk/index.php?route=product/product&product_id=78174,https://setec.mk/image/cache/catalog/Product/78174_0-220x220.jpg
Xiaomi Redmi 13C 4 / 128GB Navy Blue,Шифра: 77609,"8,999 Ден.","5,999 Ден.",-33%,https://setec.mk/xiaomi-redmi-13c-4-128gb-navy-blue77609,https://setec.mk/image/cache/catalog/Product/77609_0-220x220.jpg
Xiaomi Redmi A3 4 / 128GB Blue,Шифра: 78061,"7,999 Ден.","5,599 Ден.",-30%,https://setec.mk/index.php?route=product/product&product_id=78061,https://setec.mk/image/cache/catalog/Product/78061_0-220x220.jpg
Xiaomi Redmi A3 3 / 64GB Green,Шифра: 77870,"6,999 Ден.","4,499 Ден.",-36%,https://setec.mk/xiaomi-redmi-a3-3-64gb-green77870,https://setec.mk/image/cache/catalog/Product/77870_0-220x220.jpg
DOOGEE N55 PRO 16 / 256GB Black,Шифра: 59770,"9,999 Ден.","6,999 Ден.",-30%,https://setec.mk/index.php?route=product/product&product_id=59770,https://setec.mk/image/cache/catalog/Product/59770_0-220x220.jpg
UNIWA E1802 Dual Sim Feature phone Blue,Шифра: 78360,"1,199 Ден.",999 Ден.,-17%,https://setec.mk/index.php?route=product/product&product_id=78360,https://setec.mk/image/cache/catalog/Product/78360_0-220x220.jpg
Samsung Galaxy Watch7 44mm Green,Шифра: 78242,"21,499 Ден.","19,499 Ден.",-9%,https://setec.mk/index.php?route=product/product&product_id=78242,https://setec.mk/image/cache/catalog/Product/78242_0-220x220.jpg
Xiaomi Smart Band 8 Black,Шифра: 57233,"2,999 Ден.","2,099 Ден.",-30%,https://setec.mk/xiaomi-smart-band-8-black57233,https://setec.mk/image/cache/catalog/Product/57233_0-220x220.jpg
XIAOMI Redmi Buds 4 Lite Orange,Шифра: 56060,"1,699 Ден.","1,299 Ден.",-24%,https://setec.mk/xiaomi-redmi-buds-4-lite-orange56060,https://setec.mk/image/cache/catalog/Product/56060_0-220x220.jpg
Amazfit GTS 3 Graphite Black,Шифра: 56177,"9,999 Ден.","6,999 Ден.",-30%,https://setec.mk/amazfit-gts-3-graphite-black56177,https://setec.mk/image/cache/catalog/Product/56177_0-220x220.jpg
Power box G-37 Pink,Шифра: 77651,"3,699 Ден.","1,999 Ден.",-46%,https://setec.mk/index.php?route=product/product&product_id=77651,https://setec.mk/image/cache/catalog/Product/77651_0-220x220.jpg
Mibro Watch C3 Blue,Шифра: 58164,"3,499 Ден.","2,299 Ден.",-34%,https://setec.mk/mibro-watch-c3-blue58164,https://setec.mk/image/cache/catalog/Product/58164_0-220x220.jpg
Xiaomi Kieslect Lady Calling Watch Lora Gold,Шифра: 55859,"4,999 Ден.","4,599 Ден.",-8%,https://setec.mk/xiaomi-kieslect-lady-calling-watch-lora-gold55859,https://setec.mk/image/cache/catalog/Product/55859_0-220x220.jpg
Лаптоп Lenovo IdeaPad Slim 3 15IAH8 ( GRAY ),Шифра: 57543,"26,999 Ден.","20,999 Ден.",-22%,https://setec.mk/lenovo-ideapad-slim-3-15iah8-gray-57543,https://setec.mk/image/cache/catalog/Product/57543_0-220x220.jpg
Лаптоп ASUS Vivobook 15 X1504ZA-NJ865 (Cool Silver),Шифра: 57793,"23,999 Ден.","16,999 Ден.",-29%,https://setec.mk/asus-vivobook-15-x1504za-nj865-cool-silver57793,https://setec.mk/image/cache/catalog/Product/57793_0-220x220.jpg
Лаптоп LENOVO  IdeaPad 1 15ALC7 ( GRAY ),Шифра: 59750,"22,999 Ден.","17,999 Ден.",-22%,https://setec.mk/index.php?route=product/product&product_id=59750,https://setec.mk/image/cache/catalog/Product/59750_0-220x220.jpg
Лаптоп ACER Aspire 3 (A315-44P-R87M),Шифра: 58255,"26,999 Ден.","22,999 Ден.",-15%,https://setec.mk/acer-aspire-3-a315-44p-r87m58255,https://setec.mk/image/cache/catalog/Product/58255_0-220x220.jpg
Лаптоп ASUS Vivobook X1504VA-NJ925 ( Silver ),Шифра: 59160,"29,999 Ден.","24,999 Ден.",-17%,https://setec.mk/index.php?route=product/product&product_id=59160,https://setec.mk/image/cache/catalog/Product/59160_0-220x220.jpg
Лаптоп ASUS Vivobook 15  X1502ZA-BQ1966 (  Quiet Blue ),Шифра: 59711,"31,999 Ден.","26,999 Ден.",-16%,https://setec.mk/index.php?route=product/product&product_id=59711,https://setec.mk/image/cache/catalog/Product/59711_0-220x220.jpg
Лаптоп LENOVO  IdeaPad 3 15ABR8 ( GRAY ),Шифра: 55977,"32,999 Ден.","27,999 Ден.",-15%,https://setec.mk/lenovo-ideapad-3-15abr8-gray-55977,https://setec.mk/image/cache/catalog/Product/55977_0-220x220.jpg
Лаптоп ASUS TUF GAMING FA506NF-HN009,Шифра: 57385,"46,999 Ден.","39,799 Ден.",-15%,https://setec.mk/asus-tuf-gaming-fa506nf-hn00957385,https://setec.mk/image/cache/catalog/Product/57385_0-220x220.jpg
Лаптоп ACER Nitro 5 ANV15-51-52ZL -Процесор  Intel Corei5-13420H  (12M Cache,Шифра: 57800,"62,999 Ден.","51,999 Ден.",-17%,https://setec.mk/acer-nitro-5-anv15-51-52zl-процесор-intel-corei5-13420h-12m-cache57800,https://setec.mk/image/cache/catalog/Product/57800_0-220x220.jpg
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),Шифра: 59749,"63,999 Ден.","52,999 Ден.",-17%,https://setec.mk/index.php?route=product/product&product_id=59749,https://setec.mk/image/cache/catalog/Product/59749_0-220x220.jpg
"Ранец HP Slim за лаптоп до 15.6"" ( Black )",Шифра: 10754,"1,599 Ден.",499 Ден.,-69%,https://setec.mk/hp-slim-ранец-за-лаптоп-до-156-black-10754,https://setec.mk/image/cache/catalog/Product/10754_0-220x220.jpg
"Торба DICALLO Notebook Bag Model No: LLM912 for 15.6"" Notebook",Шифра: 10352,699 Ден.,299 Ден.,-57%,https://setec.mk/dicallo-notebook-bag-model-no:-llm912-for-156-notebook10352,https://setec.mk/image/cache/catalog/Product/10352_0-220x220.jpg
Power Box P100 FAST Charging with 5 different connector + USB Type-C,Шифра: 60782,"2,099 Ден.","1,499 Ден.",-29%,https://setec.mk/power-box-p100-fast-charging-usb-type-c-universal-notebook-adapter-65w-90w60782,https://setec.mk/image/cache/catalog/Product/60782_0-220x220.jpg
CoolerMaster R9-NBC-NPL1-GP,Шифра: 35939,"1,499 Ден.","1,199 Ден.",-20%,https://setec.mk/coolermaster-r9-nbc-npl1-gp35939,https://setec.mk/image/cache/catalog/Product/35939_0-220x220.jpg
Конфигурација  INTEL GAMER LITE,Шифра: 58209,"29,999 Ден.","26,999 Ден.",-10%,https://setec.mk/конфигурација-intel-gamer-lite-58209,https://setec.mk/image/cache/catalog/Product/58209_0-220x220.jpg
Конфигурација  INTEL GAMER VENOM,Шифра: 57780,"39,999 Ден.","36,999 Ден.",-8%,https://setec.mk/конфигурација-intel-gamer-venom-57780,https://setec.mk/image/cache/catalog/Product/57780_0-220x220.jpg
Конфигурација  AMD GAMER NEBULA,Шифра: 59599,"56,999 Ден.","51,999 Ден.",-9%,https://setec.mk/index.php?route=product/product&product_id=59599,https://setec.mk/image/cache/catalog/Product/59599_0-220x220.jpg
ST WM7104TWB,Шифра: 77819,"15,999 Ден.","10,999 Ден.",-31%,https://setec.mk/st-wm7104twb77819,https://setec.mk/image/cache/catalog/Product/77819_0-220x220.jpg
TELEFUNKEN TFR 278W,Шифра: 71792,"17,999 Ден.","13,999 Ден.",-22%,https://setec.mk/telefunken-tfr-278w71792,https://setec.mk/image/cache/catalog/Product/71792_0-220x220.jpg
ST WMI8148TW,Шифра: 77142,"18,999 Ден.","13,999 Ден.",-26%,https://setec.mk/st-wmi8148tw77142,https://setec.mk/image/cache/catalog/Product/77142_0-220x220.jpg
TCL FF0814WA0,Шифра: 78260,"21,999 Ден.","15,999 Ден.",-27%,https://setec.mk/index.php?route=product/product&product_id=78260,https://setec.mk/image/cache/catalog/Product/78260_0-220x220.jpg
WHIRLPPOL FFB 8258 WV EE,Шифра: 60663,"26,999 Ден.","18,999 Ден.",-30%,https://setec.mk/whirlppol-ffb-8258-wv-ee60663,https://setec.mk/image/cache/catalog/Product/60663_0-220x220.jpg
CANDY RP 6106BWMR8-S,Шифра: 77907,"26,999 Ден.","19,999 Ден.",-26%,https://setec.mk/candy-rp-6106bwmr8-s77907,https://setec.mk/image/cache/catalog/Product/77907_0-220x220.jpg
Gorenje W11NHPI84AS,Шифра: 59112,"25,999 Ден.","19,999 Ден.",-23%,https://setec.mk/index.php?route=product/product&product_id=59112,https://setec.mk/image/cache/catalog/Product/59112_0-220x220.jpg
SAMSUNG WW80T4020EE1LE,Шифра: 73799,"29,999 Ден.","21,999 Ден.",-27%,https://setec.mk/samsung-ww80t4020ee1le73799,https://setec.mk/image/cache/catalog/Product/73799_0-220x220.jpg
HOTPOINT ARISTON NLCD 946 BS A EU N,Шифра: 77313,"32,999 Ден.","21,999 Ден.",-33%,https://setec.mk/hotpoint-ariston-nlcd-946-bs-a-eu-n77313,https://setec.mk/image/cache/catalog/Product/77313_0-220x220.jpg
CANDY CSOW 4855TWE / 1-S,Шифра: 78094,"27,999 Ден.","20,999 Ден.",-25%,https://setec.mk/index.php?route=product/product&product_id=78094,https://setec.mk/image/cache/catalog/Product/78094_0-220x220.jpg
CANDY CH64CCB / 4U2,Шифра: 76307,"11,499 Ден.","7,499 Ден.",-35%,https://setec.mk/candy-ch64ccb-4u276307,https://setec.mk/image/cache/catalog/Product/76307_0-220x220.jpg
CANDY FCT 615NXL,Шифра: 78355,"16,999 Ден.","12,499 Ден.",-26%,https://setec.mk/index.php?route=product/product&product_id=78355,https://setec.mk/image/cache/catalog/Product/78355_0-220x220.jpg
ST TH-60XH2M,Шифра: 77441,"3,999 Ден.","2,999 Ден.",-25%,https://setec.mk/st-th-60xh2m77441,https://setec.mk/image/cache/catalog/Product/77441_0-220x220.jpg
Midea MW 17 M BK,Шифра: 60902,"9,999 Ден.","5,999 Ден.",-40%,https://setec.mk/midea-mw-17-m-bk60902,https://setec.mk/image/cache/catalog/Product/60902_0-220x220.jpg
Midea MM20CF2E,Шифра: 60908,"4,499 Ден.","2,999 Ден.",-33%,https://setec.mk/index.php?route=product/product&product_id=60908,https://setec.mk/image/cache/catalog/Product/60908_0-220x220.jpg
ST ESH50WHK,Шифра: 70936,"11,999 Ден.","8,499 Ден.",-29%,https://setec.mk/st-esh50whk70936,https://setec.mk/image/cache/catalog/Product/70936_0-220x220.jpg
ST CF-211WM,Шифра: 77746,"13,999 Ден.","9,999 Ден.",-29%,https://setec.mk/st-cf-211wm77746,https://setec.mk/image/cache/catalog/Product/77746_0-220x220.jpg
ST RF-263WM Superior Technology,Шифра: 77638,"12,999 Ден.","10,499 Ден.",-19%,https://setec.mk/st-rf-263wm-superior-technology77638,https://setec.mk/image/cache/catalog/Product/77638_0-220x220.jpg
SAMSUNG RB34C602ES9 / EK,Шифра: 77995,"37,999 Ден.","29,999 Ден.",-21%,https://setec.mk/samsung-rb34c602es9-ek77995,https://setec.mk/image/cache/catalog/Product/77995_0-220x220.jpg
INSTAHOT IWH BC11W,Шифра: 80052,"3,299 Ден.","1,399 Ден.",-58%,https://setec.mk/instahot-iwh-bc11w80052,https://setec.mk/image/cache/catalog/Product/80052_0-220x220.jpg
ARISTON ANDRIS RS 10U / 3 EU,Шифра: 69038,"5,299 Ден.","4,399 Ден.",-17%,https://setec.mk/ariston-andris-rs-10u-3-eu69038,https://setec.mk/image/cache/catalog/Product/69038_0-220x220.jpg
TELEFUNKEN TFR263W,Шифра: 71787,"13,999 Ден.","10,999 Ден.",-21%,https://setec.mk/telefunken-tfr263w71787,https://setec.mk/image/cache/catalog/Product/71787_0-220x220.jpg
Philips EP2220 / 10,Шифра: 72921,"31,199 Ден.","19,999 Ден.",-36%,https://setec.mk/philips-ep2220-1072921,https://setec.mk/image/cache/catalog/Product/72921_0-220x220.jpg
Philips FC9350 / 01,Шифра: 70668,"10,499 Ден.","6,499 Ден.",-38%,https://setec.mk/philips-fc9350-0170668,https://setec.mk/image/cache/catalog/Product/70668_0-220x220.jpg
Philips DST5010 / 10,Шифра: 74692,"3,999 Ден.","2,399 Ден.",-40%,https://setec.mk/philips-dst5010-1074692,https://setec.mk/image/cache/catalog/Product/74692_0-220x220.jpg
Philips HD9200 / 90,Шифра: 74886,"8,599 Ден.","5,499 Ден.",-36%,https://setec.mk/philips-hd9200-9074886,https://setec.mk/image/cache/catalog/Product/74886_0-220x220.jpg
Philips BRI921 / 00,Шифра: 72178,"23,999 Ден.","15,499 Ден.",-35%,https://setec.mk/philips-bri921-0072178,https://setec.mk/image/cache/catalog/Product/72178_0-220x220.jpg
Philips HX6800 / 35,Шифра: 76368,"10,999 Ден.","6,599 Ден.",-40%,https://setec.mk/philips-hx6800-3576368,https://setec.mk/image/cache/catalog/Product/76368_0-220x220.jpg
Philips BHD302 / 30,Шифра: 74648,"2,099 Ден.","1,399 Ден.",-33%,https://setec.mk/philips-bhd302-3074648,https://setec.mk/image/cache/catalog/Product/74648_0-220x220.jpg
Philips BHS376 / 00,Шифра: 72605,"2,799 Ден.","1,799 Ден.",-36%,https://setec.mk/philips-bhs376-0072605,https://setec.mk/image/cache/catalog/Product/72605_0-220x220.jpg
Philips MG5920 / 15,Шифра: 34508,"3,999 Ден.","2,599 Ден.",-35%,https://setec.mk/philips-mg5920-1534508,https://setec.mk/image/cache/catalog/Product/34508_0-220x220.jpg
Midea M7,Шифра: 78309,"15,999 Ден.","11,999 Ден.",-25%,https://setec.mk/index.php?route=product/product&product_id=78309,https://setec.mk/image/cache/catalog/Product/78309_0-220x220.jpg
Midea MCS2025GB,Шифра: 78311,"8,999 Ден.","5,999 Ден.",-33%,https://setec.mk/index.php?route=product/product&product_id=78311,https://setec.mk/image/cache/catalog/Product/78311_0-220x220.jpg
Midea MBC1860WB,Шифра: 78420,"5,999 Ден.","3,999 Ден.",-33%,https://setec.mk/index.php?route=product/product&product_id=78420,https://setec.mk/image/cache/catalog/Product/78420_0-220x220.jpg
Rowenta CV591LF0,Шифра: 59709,"2,599 Ден.","1,499 Ден.",-42%,https://setec.mk/index.php?route=product/product&product_id=59709,https://setec.mk/image/cache/catalog/Product/59709_0-220x220.jpg
ST SBS-E180 TUYA,Шифра: 50421,"2,299 Ден.",699 Ден.,-70%,https://setec.mk/st-sbs-e180-tuya50421,https://setec.mk/image/cache/catalog/Product/50421_0-220x220.jpg
Rowenta CF9530F0,Шифра: 71337,"5,689 Ден.","3,699 Ден.",-35%,https://setec.mk/rowenta-cf9530f071337,https://setec.mk/image/cache/catalog/Product/71337_0-220x220.jpg
Tefal EY505815,Шифра: 76765,"10,999 Ден.","6,499 Ден.",-41%,https://setec.mk/tefal-ey50581576765,https://setec.mk/image/cache/catalog/Product/76765_0-220x220.jpg
Tefal FV5717E0,Шифра: 73421,"3,399 Ден.","1,999 Ден.",-41%,https://setec.mk/tefal-fv5717e073421,https://setec.mk/image/cache/catalog/Product/73421_0-220x220.jpg
Silvercrest 334428,Шифра: 77887,"3,499 Ден.","1,399 Ден.",-60%,https://setec.mk/silvercrest-33442877887,https://setec.mk/image/cache/catalog/Product/77887_0-220x220.jpg
ARIETE STEAM MOP 10 IN 1,Шифра: 75289,"5,799 Ден.","3,499 Ден.",-40%,https://setec.mk/ariete-steam-mop-10-in-175289,https://setec.mk/image/cache/catalog/Product/75289_0-220x220.jpg
De Longhi EC885.BG,Шифра: 76598,"16,999 Ден.","10,999 Ден.",-35%,https://setec.mk/de-longhi-ec885bg76598,https://setec.mk/image/cache/catalog/Product/76598_0-220x220.jpg
KARCHER 1.512-630.0 SC 4 EasyFix  EU,Шифра: 77867,"22,999 Ден.","15,999 Ден.",-30%,https://setec.mk/karcher-1512-6300-sc-4-easyfix-eu77867,https://setec.mk/image/cache/catalog/Product/77867_0-220x220.jpg
ST LD505WU,Шифра: 33670,"1,499 Ден.",799 Ден.,-47%,https://setec.mk/st-ld505wu33670,https://setec.mk/image/cache/catalog/Product/33670_0-220x220.jpg
ST WM-850XA,Шифра: 71208,"1,299 Ден.",799 Ден.,-38%,https://setec.mk/st-wm-850xa71208,https://setec.mk/image/cache/catalog/Product/71208_0-220x220.jpg
ST TB-K510WG,Шифра: 70675,"2,999 Ден.","1,499 Ден.",-50%,https://setec.mk/st-tb-k510wg70675,https://setec.mk/image/cache/catalog/Product/70675_0-220x220.jpg
ST VCC-1601HWT,Шифра: 31976,"4,399 Ден.","2,499 Ден.",-43%,https://setec.mk/st-vcc-1601hwt31976,https://setec.mk/image/cache/catalog/Product/31976_0-220x220.jpg
Midea Breezeless E CB1-12HRFN8-I / CB1-12HFNX-O,Шифра: 76952,"49,999 Ден.","22,999 Ден.",-54%,https://setec.mk/midea-breezeless-e-cb1-12hrfn8-i-cb1-12hfnx-o76952,https://setec.mk/image/cache/catalog/Product/76952_0-220x220.jpg
ST MAC-18INV32 SIBERIA,Шифра: 77452,"37,999 Ден.","28,999 Ден.",-24%,https://setec.mk/st-mac-18inv32-siberia77452,https://setec.mk/image/cache/catalog/Product/77452_0-220x220.jpg
MIDEA NDK20-21AE,Шифра: 78471,"3,999 Ден.","1,699 Ден.",-58%,https://setec.mk/index.php?route=product/product&product_id=78471,https://setec.mk/image/cache/catalog/Product/78471_0-220x220.jpg
ST PN-2500,Шифра: 72090,"3,799 Ден.","2,599 Ден.",-32%,https://setec.mk/st-pn-250072090,https://setec.mk/image/cache/catalog/Product/72090_0-220x220.jpg
Midea Breezeless E CB1-18HRFN8-I / CB1-18HFNX-O,Шифра: 77387,"54,999 Ден.","38,999 Ден.",-29%,https://setec.mk/midea-breezeless-e-cb1-18hrfn8-i-cb1-18hfnx-o77387,https://setec.mk/image/cache/catalog/Product/77387_0-220x220.jpg
ST PN-2000,Шифра: 72091,"3,499 Ден.","2,299 Ден.",-34%,https://setec.mk/st-pn-200072091,https://setec.mk/image/cache/catalog/Product/72091_0-220x220.jpg
ST HL-105VNP,Шифра: 70795,999 Ден.,499 Ден.,-50%,https://setec.mk/st-hl-105vnp70795,https://setec.mk/image/cache/catalog/Product/70795_0-220x220.jpg
ST Forest,Шифра: 60546,"11,999 Ден.","8,999 Ден.",-25%,https://setec.mk/index.php?route=product/product&product_id=60546,https://setec.mk/image/cache/catalog/Product/60546_0-220x220.jpg
